elo,A_Nc3,C_bw100_Nc3,A_d3,C_bw100_d3,A_Ng5,C_bw100_Ng5,A_O-O,C_bw100_O-O
900.0,0.03458915063583781,0.03457255285284288,0.030721057403776425,0.03072962035376962,0.03458915063583781,0.03457255285284288,0.0079605986886343,0.007973221918813916
905.0,0.034589150635837826,0.03457081197732393,0.030721057403776415,0.03073051844912761,0.034589150635837805,0.03457081197732393,0.007960598688634302,0.00797454600038786
910.0,0.03458915063583782,0.034568889056142096,0.030721057403776425,0.030731510450998967,0.034589150635837805,0.034568889056142096,0.0079605986886343,0.007976008560881289
915.0,0.03458915063583781,0.03456676517340944,0.030721057403776415,0.03073260611507762,0.03458915063583781,0.03456676517340944,0.0079605986886343,0.007977623993254426
920.0,0.03458915063583781,0.03456441947438751,0.030721057403776425,0.030733816196582275,0.034589150635837805,0.03456441947438751,0.007960598688634305,0.0079794081666095
925.0,0.03458915063583781,0.034561828972637695,0.030721057403776425,0.030735152549580917,0.03458915063583781,0.034561828972637695,0.007960598688634302,0.007981378573215205
930.0,0.034589150635837805,0.03455896833929316,0.030721057403776425,0.030736628235501842,0.03458915063583781,0.03455896833929316,0.007960598688634303,0.007983554489207022
935.0,0.03458915063583781,0.034555809673088175,0.030721057403776425,0.03073825764152663,0.03458915063583781,0.034555809673088175,0.007960598688634302,0.007985957150017806
940.0,0.03458915063583781,0.034552322249747004,0.030721057403776418,0.030740056609576696,0.03458915063583781,0.034552322249747004,0.007960598688634302,0.007988609941622798
945.0,0.034589150635837805,0.0345484722493176,0.03072105740377643,0.03074204257661099,0.034589150635837805,0.0345484722493176,0.0079605986886343,0.007991538608699823
950.0,0.03458915063583781,0.03454422246004587,0.030721057403776415,0.030744234726945225,0.034589150635837805,0.03454422246004587,0.0079605986886343,0.007994771480803707
955.0,0.03458915063583781,0.03453953195742675,0.030721057403776425,0.03074665415727835,0.03458915063583781,0.03453953195742675,0.007960598688634302,0.007998339717628715
960.0,0.034589150635837805,0.03453435575715273,0.030721057403776425,0.030749324055065124,0.034589150635837805,0.03453435575715273,0.0079605986886343,0.008002277574376875
